Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
,,,"OC"
,,"Protein","NA","Escherichia coli K-12"
,,,"PC"
,,"Protein","OA","Escherichia coli K-12"
,,,"QC"
,,"Protein","PA","Escherichia coli K-12"
,,,"RC"
,,"Protein","QA","Escherichia coli K-12"
,,,"SC"
,,"Protein","RA","Escherichia coli K-12"
,,,"TC"
,,"Protein","SA","Escherichia coli K-12"
,,,"UC"
,,"Protein","VC","Escherichia coli K-12"
,,,"TA"
,,"Protein","UA","Escherichia coli K-12"
,,,"WC"
,,"Protein","XC","Escherichia coli K-12"
,,,"VA"
,,"Protein","WA","Escherichia coli K-12"
,,,"YC"
,,"Protein","XA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","AD","Escherichia coli K-12"
,,,"YA"
,,"Protein","BD","Escherichia coli K-12"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,"Protein","BB","synthetic construct"
,,,"CD"
"4U1V","RIBOSOME","RNA","A","Escherichia coli str. K-12 substr. MDS42"
,,,"CB"
,,"Protein","B","Escherichia coli K-12"
,,,"DB"
,,"Protein","C","Escherichia coli K-12"
,,,"EB"
,,"Protein","D","Escherichia coli K-12"
,,,"FB"
,,"Protein","E","Escherichia coli K-12"
,,,"GB"
,,"Protein","F","Escherichia coli K-12"
,,,"HB"
,,"Protein","G","Escherichia coli K-12"
,,,"IB"
,,"Protein","H","Escherichia coli K-12"
,,,"JB"
,,"Protein","I","Escherichia coli K-12"
,,,"KB"
,,"Protein","J","Escherichia coli K-12"
,,,"LB"
,,"Protein","MB","Escherichia coli K-12"
,,,"K"
,,"Protein","L","Escherichia coli K-12"
,,,"NB"
,,"Protein","M","Escherichia coli K-12"
,,,"OB"
,,"Protein","N","Escherichia coli K-12"
,,,"PB"
,,"Protein","O","Escherichia coli K-12"
,,,"QB"
,,"Protein","P","Escherichia coli K-12"
,,,"RB"
,,"Protein","SB","Escherichia coli K-12"
,,,"Q"
,,"Protein","TB","Escherichia coli K-12"
,,,"R"
,,"Protein","S","Escherichia coli K-12"
,,,"UB"
,,"Protein","T","Escherichia coli K-12"
,,,"VB"
,,"Protein","U","Escherichia coli K-12"
,,,"WB"
,,"RNA","XB","Escherichia coli str. K-12 substr. MDS42"
,,,"V"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"YB"
,,"Protein","X","Escherichia coli K-12"
,,,"ZB"
,,"Protein","AC","Escherichia coli K-12"
,,,"Y"
,,"Protein","Z","Escherichia coli K-12"
,,,"BC"
,,"Protein","CC","Escherichia coli K-12"
,,,"AA"
,,"Protein","BA","Escherichia coli K-12"
,,,"DC"
,,"Protein","CA","Escherichia coli K-12"
,,,"EC"
,,"Protein","DA","Escherichia coli K-12"
,,,"FC"
,,"Protein","EA","Escherichia coli K-12"
,,,"GC"
,,"Protein","FA","Escherichia coli K-12"
,,,"HC"
,,"Protein","IC","Escherichia coli K-12"
,,,"GA"
,,"Protein","HA","Escherichia coli K-12"
,,,"JC"
,,"Protein","IA","Escherichia coli K-12"
,,,"KC"
,,"Protein","JA","Escherichia coli K-12"
,,,"LC"
,,"Protein","MC","Escherichia coli K-12"
,,,"KA"
,,"Protein","NC","Escherichia coli K-12"
,,,"LA"
,,"Protein","MA","Escherichia coli K-12"
,,,"OC"
,,"Protein","NA","Escherichia coli K-12"
,,,"PC"
,,"Protein","QC","Escherichia coli K-12"
,,,"OA"
,,"Protein","PA","Escherichia coli K-12"
,,,"RC"
,,"Protein","QA","Escherichia coli K-12"
,,,"SC"
,,"Protein","RA","Escherichia coli K-12"
,,,"TC"
,,"Protein","SA","Escherichia coli K-12"
,,,"UC"
,,"Protein","TA","Escherichia coli K-12"
,,,"VC"
,,"Protein","UA","Escherichia coli K-12"
,,,"WC"
,,"Protein","VA","Escherichia coli K-12"
,,,"XC"
,,"Protein","YC","Escherichia coli K-12"
,,,"WA"
,,"Protein","XA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","AD","Escherichia coli K-12"
,,,"YA"
,,"Protein","BD","Escherichia coli K-12"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,"Protein","CD","synthetic construct"
,,,"BB"
"4U20","RIBOSOME","RNA","A","Escherichia coli str. K-12 substr. MDS42"
,,,"BB"
,,"Protein","B","Escherichia coli K-12"
,,,"CB"
,,"Protein","DB","Escherichia coli K-12"
,,,"C"
,,"Protein","EB","Escherichia coli K-12"
,,,"D"
,,"Protein","FB","Escherichia coli K-12"
,,,"E"
,,"Protein","F","Escherichia coli K-12"
,,,"GB"
,,"Protein","G","Escherichia coli K-12"
,,,"HB"
,,"Protein","H","Escherichia coli K-12"
,,,"IB"
,,"Protein","I","Escherichia coli K-12"
,,,"JB"
,,"Protein","J","Escherichia coli K-12"
,,,"KB"
,,"Protein","K","Escherichia coli K-12"
,,,"LB"
,,"Protein","MB","Escherichia coli K-12"
,,,"L"
,,"Protein","M","Escherichia coli K-12"
,,,"NB"
,,"Protein","N","Escherichia coli K-12"
,,,"OB"
,,"Protein","O","Escherichia coli K-12"
,,,"PB"
,,"Protein","QB","Escherichia coli K-12"
,,,"P"
,,"Protein","Q","Escherichia coli K-12"
,,,"RB"
,,"Protein","SB","Escherichia coli K-12"
,,,"R"
,,"Protein","S","Escherichia coli K-12"
,,,"TB"
,,"Protein","T","Escherichia coli K-12"
,,,"UB"
,,"Protein","U","Escherichia coli K-12"
,,,"VB"
,,"RNA","V","Escherichia coli str. K-12 substr. MDS42"
,,,"WB"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"XB"
,,"Protein","X","Escherichia coli K-12"
,,,"YB"
,,"Protein","Y","Escherichia coli K-12"
,,,"ZB"
,,"Protein","AC","Escherichia coli K-12"
,,,"Z"
,,"Protein","AA","Escherichia coli K-12"
,,,"BC"
,,"Protein","BA","Escherichia coli K-12"
,,,"CC"
,,"Protein","DC","Escherichia coli K-12"
,,,"CA"
,,"Protein","DA","Escherichia coli K-12"
,,,"EC"
,,"Protein","EA","Escherichia coli K-12"
,,,"FC"
,,"Protein","GC","Escherichia coli K-12"
,,,"FA"
,,"Protein","GA","Escherichia coli K-12"
,,,"HC"
,,"Protein","HA","Escherichia coli K-12"
,,,"IC"
,,"Protein","IA","Escherichia coli K-12"
,,,"JC"
,,"Protein","JA","Escherichia coli K-12"
,,,"KC"
,,"Protein","KA","Escherichia coli K-12"
,,,"LC"
,,"Protein","MC","Escherichia coli K-12"
,,,"LA"
,,"Protein","NC","Escherichia coli K-12"
,,,"MA"
,,"Protein","NA","Escherichia coli K-12"
,,,"OC"
,,"Protein","OA","Escherichia coli K-12"
,,,"PC"
,,"Protein","QC","Escherichia coli K-12"
,,,"PA"
,,"Protein","QA","Escherichia coli K-12"
,,,"RC"
,,"Protein","RA","Escherichia coli K-12"
,,,"SC"
,,"Protein","SA","Escherichia coli K-12"
,,,"TC"
,,"Protein","TA","Escherichia coli K-12"
,,,"UC"
,,"Protein","VC","Escherichia coli K-12"
,,,"UA"
,,"Protein","VA","Escherichia coli K-12"
,,,"WC"
,,"Protein","WA","Escherichia coli K-12"
,,,"XC"
,,"Protein","XA","Escherichia coli K-12"
,,,"YC"
,,"Protein","YA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","AD","Escherichia coli K-12"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
"4U24","RIBOSOME","RNA","A","Escherichia coli str. K-12 substr. MDS42"
,,,"BB"
,,"Protein","B","Escherichia coli K-12"
,,,"CB"
,,"Protein","C","Escherichia coli K-12"
,,,"DB"
,,"Protein","D","Escherichia coli K-12"
,,,"EB"
,,"Protein","E","Escherichia coli K-12"
,,,"FB"
,,"Protein","GB","Escherichia coli K-12"
,,,"F"
,,"Protein","G","Escherichia coli K-12"
,,,"HB"
,,"Protein","H","Escherichia coli K-12"
,,,"IB"
,,"Protein","I","Escherichia coli K-12"
,,,"JB"
,,"Protein","J","Escherichia coli K-12"
,,,"KB"
,,"Protein","K","Escherichia coli K-12"
,,,"LB"
,,"Protein","L","Escherichia coli K-12"
,,,"MB"
,,"Protein","M","Escherichia coli K-12"
,,,"NB"
,,"Protein","N","Escherichia coli K-12"
,,,"OB"
,,"Protein","O","Escherichia coli K-12"
,,,"PB"
,,"Protein","P","Escherichia coli K-12"
,,,"QB"
,,"Protein","Q","Escherichia coli K-12"
,,,"RB"
,,"Protein","SB","Escherichia coli K-12"
,,,"R"
,,"Protein","S","Escherichia coli K-12"
,,,"TB"
,,"Protein","T","Escherichia coli K-12"
,,,"UB"
,,"Protein","U","Escherichia coli K-12"
,,,"VB"
,,"RNA","V","Escherichia coli str. K-12 substr. MDS42"
,,,"WB"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"XB"
,,"Protein","X","Escherichia coli K-12"
,,,"YB"
,,"Protein","Y","Escherichia coli K-12"
,,,"ZB"
,,"Protein","Z","Escherichia coli K-12"
,,,"AC"
,,"Protein","AA","Escherichia coli K-12"
,,,"BC"
,,"Protein","BA","Escherichia coli K-12"
,,,"CC"
,,"Protein","CA","Escherichia coli K-12"
,,,"DC"
,,"Protein","DA","Escherichia coli K-12"
,,,"EC"
,,"Protein","EA","Escherichia coli K-12"
,,,"FC"
,,"Protein","FA","Escherichia coli K-12"
,,,"GC"
,,"Protein","GA","Escherichia coli K-12"
,,,"HC"
,,"Protein","IC","Escherichia coli K-12"
,,,"HA"
,,"Protein","JC","Escherichia coli K-12"
,,,"IA"
,,"Protein","JA","Escherichia coli K-12"
,,,"KC"
,,"Protein","KA","Escherichia coli K-12"
,,,"LC"
,,"Protein","LA","Escherichia coli K-12"
,,,"MC"
,,"Protein","MA","Escherichia coli K-12"
,,,"NC"
,,"Protein","NA","Escherichia coli K-12"
,,,"OC"
,,"Protein","OA","Escherichia coli K-12"
,,,"PC"
,,"Protein","QC","Escherichia coli K-12"
,,,"PA"
,,"Protein","QA","Escherichia coli K-12"
,,,"RC"
,,"Protein","SC","Escherichia coli K-12"
,,,"RA"
,,"Protein","SA","Escherichia coli K-12"
,,,"TC"
,,"Protein","TA","Escherichia coli K-12"
,,,"UC"
,,"Protein","UA","Escherichia coli K-12"
,,,"VC"
,,"Protein","VA","Escherichia coli K-12"
,,,"WC"
,,"Protein","WA","Escherichia coli K-12"
,,,"XC"
,,"Protein","XA","Escherichia coli K-12"
,,,"YC"
,,"Protein","YA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","ZA","Escherichia coli K-12"
,,,"AD"
,,"Protein","AB","Thermus thermophilus HB8"
"4U25","RIBOSOME","RNA","A","Escherichia coli str. K-12 substr. MDS42"
,,,"BB"
,,"Protein","B","Escherichia coli K-12"
,,,"CB"
,,"Protein","C","Escherichia coli K-12"
,,,"DB"
,,"Protein","D","Escherichia coli K-12"
,,,"EB"
,,"Protein","E","Escherichia coli K-12"
,,,"FB"
,,"Protein","F","Escherichia coli K-12"
,,,"GB"
,,"Protein","G","Escherichia coli K-12"
,,,"HB"
,,"Protein","H","Escherichia coli K-12"
,,,"IB"
,,"Protein","I","Escherichia coli K-12"
,,,"JB"
,,"Protein","J","Escherichia coli K-12"
,,,"KB"
,,"Protein","K","Escherichia coli K-12"
,,,"LB"
,,"Protein","MB","Escherichia coli K-12"
,,,"L"
,,"Protein","M","Escherichia coli K-12"
,,,"NB"
,,"Protein","N","Escherichia coli K-12"
,,,"OB"
,,"Protein","O","Escherichia coli K-12"
,,,"PB"
,,"Protein","P","Escherichia coli K-12"
,,,"QB"
,,"Protein","Q","Escherichia coli K-12"
,,,"RB"
,,"Protein","R","Escherichia coli K-12"
,,,"SB"
,,"Protein","S","Escherichia coli K-12"
,,,"TB"
,,"Protein","T","Escherichia coli K-12"
,,,"UB"
,,"Protein","U","Escherichia coli K-12"
,,,"VB"
,,"RNA","V","Escherichia coli str. K-12 substr. MDS42"
,,,"WB"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"XB"
,,"Protein","X","Escherichia coli K-12"
,,,"YB"
,,"Protein","Y","Escherichia coli K-12"
,,,"ZB"
,,"Protein","AC","Escherichia coli K-12"
,,,"Z"
,,"Protein","BC","Escherichia coli K-12"
,,,"AA"
,,"Protein","BA","Escherichia coli K-12"
,,,"CC"
,,"Protein","CA","Escherichia coli K-12"
,,,"DC"
,,"Protein","DA","Escherichia coli K-12"
,,,"EC"
,,"Protein","FC","Escherichia coli K-12"
,,,"EA"
,,"Protein","FA","Escherichia coli K-12"
,,,"GC"
,,"Protein","GA","Escherichia coli K-12"
,,,"HC"
,,"Protein","HA","Escherichia coli K-12"
,,,"IC"
,,"Protein","IA","Escherichia coli K-12"
,,,"JC"
,,"Protein","JA","Escherichia coli K-12"
,,,"KC"
,,"Protein","KA","Escherichia coli K-12"
,,,"LC"
,,"Protein","LA","Escherichia coli K-12"
,,,"MC"
,,"Protein","MA","Escherichia coli K-12"
,,,"NC"
,,"Protein","NA","Escherichia coli K-12"
,,,"OC"
,,"Protein","PC","Escherichia coli K-12"
,,,"OA"
,,"Protein","QC","Escherichia coli K-12"
,,,"PA"
,,"Protein","RC","Escherichia coli K-12"
,,,"QA"
,,"Protein","RA","Escherichia coli K-12"
,,,"SC"
,,"Protein","SA","Escherichia coli K-12"
,,,"TC"
,,"Protein","TA","Escherichia coli K-12"
,,,"UC"
,,"Protein","UA","Escherichia coli K-12"
,,,"VC"
,,"Protein","VA","Escherichia coli K-12"
,,,"WC"
,,"Protein","XC","Escherichia coli K-12"
,,,"WA"
,,"Protein","XA","Escherichia coli K-12"
,,,"YC"
,,"Protein","YA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","AD","Escherichia coli K-12"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
"4U26","RIBOSOME","RNA","A","Escherichia coli str. K-12 substr. MDS42"
,,,"CB"
,,"Protein","B","Escherichia coli K-12"
,,,"DB"
,,"Protein","C","Escherichia coli K-12"
,,,"EB"
,,"Protein","D","Escherichia coli K-12"
,,,"FB"
,,"Protein","E","Escherichia coli K-12"
,,,"GB"
,,"Protein","F","Escherichia coli K-12"
,,,"HB"
,,"Protein","IB","Escherichia coli K-12"
,,,"G"
,,"Protein","H","Escherichia coli K-12"
,,,"JB"
,,"Protein","I","Escherichia coli K-12"
,,,"KB"
,,"Protein","LB","Escherichia coli K-12"
,,,"J"
,,"Protein","MB","Escherichia coli K-12"
,,,"K"
,,"Protein","L","Escherichia coli K-12"
,,,"NB"
,,"Protein","M","Escherichia coli K-12"
,,,"OB"
,,"Protein","N","Escherichia coli K-12"
,,,"PB"
,,"Protein","O","Escherichia coli K-12"
,,,"QB"
,,"Protein","RB","Escherichia coli K-12"
,,,"P"
,,"Protein","SB","Escherichia coli K-12"
,,,"Q"
,,"Protein","R","Escherichia coli K-12"
,,,"TB"
,,"Protein","UB","Escherichia coli K-12"
,,,"S"
,,"Protein","T","Escherichia coli K-12"
,,,"VB"
,,"Protein","U","Escherichia coli K-12"
,,,"WB"
,,"RNA","XB","Escherichia coli str. K-12 substr. MDS42"
,,,"V"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"YB"
,,"Protein","X","Escherichia coli K-12"
,,,"ZB"
,,"Protein","Y","Escherichia coli K-12"
,,,"AC"
,,"Protein","BC","Escherichia coli K-12"
,,,"Z"
,,"Protein","AA","Escherichia coli K-12"
,,,"CC"
,,"Protein","BA","Escherichia coli K-12"
,,,"DC"
,,"Protein","CA","Escherichia coli K-12"
,,,"EC"
,,"Protein","DA","Escherichia coli K-12"
,,,"FC"
,,"Protein","EA","Escherichia coli K-12"
,,,"GC"
,,"Protein","FA","Escherichia coli K-12"
,,,"HC"
,,"Protein","GA","Escherichia coli K-12"
,,,"IC"
,,"Protein","HA","Escherichia coli K-12"
,,,"JC"
,,"Protein","IA","Escherichia coli K-12"
,,,"KC"
,,"Protein","LC","Escherichia coli K-12"
,,,"JA"
,,"Protein","KA","Escherichia coli K-12"
,,,"MC"
,,"Protein","LA","Escherichia coli K-12"
,,,"NC"
,,"Protein","MA","Escherichia coli K-12"
,,,"OC"
,,"Protein","NA","Escherichia coli K-12"
,,,"PC"
,,"Protein","OA","Escherichia coli K-12"
,,,"QC"
,,"Protein","PA","Escherichia coli K-12"
,,,"RC"
,,"Protein","QA","Escherichia coli K-12"
,,,"SC"
,,"Protein","RA","Escherichia coli K-12"
,,,"TC"
,,"Protein","SA","Escherichia coli K-12"
,,,"UC"
,,"Protein","VC","Escherichia coli K-12"
,,,"TA"
,,"Protein","UA","Escherichia coli K-12"
,,,"WC"
,,"Protein","XC","Escherichia coli K-12"
,,,"VA"
,,"Protein","WA","Escherichia coli K-12"
,,,"YC"
,,"Protein","XA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","AD","Escherichia coli K-12"
,,,"YA"
,,"Protein","BD","Escherichia coli K-12"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,"Protein","BB","synthetic construct"
,,,"CD"
"4U27","RIBOSOME","RNA","A","Escherichia coli str. K-12 substr. MDS42"
,,,"CB"
,,"Protein","B","Escherichia coli K-12"
,,,"DB"
,,"Protein","C","Escherichia coli K-12"
,,,"EB"
,,"Protein","D","Escherichia coli K-12"
,,,"FB"
,,"Protein","E","Escherichia coli K-12"
,,,"GB"
,,"Protein","F","Escherichia coli K-12"
,,,"HB"
,,"Protein","G","Escherichia coli K-12"
,,,"IB"
,,"Protein","H","Escherichia coli K-12"
,,,"JB"
,,"Protein","I","Escherichia coli K-12"
,,,"KB"
,,"Protein","J","Escherichia coli K-12"
,,,"LB"
,,"Protein","MB","Escherichia coli K-12"
,,,"K"
,,"Protein","L","Escherichia coli K-12"
,,,"NB"
,,"Protein","M","Escherichia coli K-12"
,,,"OB"
,,"Protein","N","Escherichia coli K-12"
,,,"PB"
,,"Protein","O","Escherichia coli K-12"
,,,"QB"
,,"Protein","P","Escherichia coli K-12"
,,,"RB"
,,"Protein","SB","Escherichia coli K-12"
,,,"Q"
,,"Protein","R","Escherichia coli K-12"
,,,"TB"
,,"Protein","S","Escherichia coli K-12"
,,,"UB"
,,"Protein","T","Escherichia coli K-12"
,,,"VB"
,,"Protein","U","Escherichia coli K-12"
,,,"WB"
,,"RNA","XB","Escherichia coli str. K-12 substr. MDS42"
,,,"V"
,,"RNA","W","Escherichia coli str. K-12 substr. MDS42"
,,,"YB"
,,"Protein","X","Escherichia coli K-12"
,,,"ZB"
,,"Protein","AC","Escherichia coli K-12"
,,,"Y"
,,"Protein","Z","Escherichia coli K-12"
,,,"BC"
,,"Protein","CC","Escherichia coli K-12"
,,,"AA"
,,"Protein","BA","Escherichia coli K-12"
,,,"DC"
,,"Protein","CA","Escherichia coli K-12"
,,,"EC"
,,"Protein","DA","Escherichia coli K-12"
,,,"FC"
,,"Protein","EA","Escherichia coli K-12"
,,,"GC"
,,"Protein","FA","Escherichia coli K-12"
,,,"HC"
,,"Protein","IC","Escherichia coli K-12"
,,,"GA"
,,"Protein","HA","Escherichia coli K-12"
,,,"JC"
,,"Protein","IA","Escherichia coli K-12"
,,,"KC"
,,"Protein","JA","Escherichia coli K-12"
,,,"LC"
,,"Protein","MC","Escherichia coli K-12"
,,,"KA"
,,"Protein","NC","Escherichia coli K-12"
,,,"LA"
,,"Protein","MA","Escherichia coli K-12"
,,,"OC"
,,"Protein","NA","Escherichia coli K-12"
,,,"PC"
,,"Protein","QC","Escherichia coli K-12"
,,,"OA"
,,"Protein","PA","Escherichia coli K-12"
,,,"RC"
,,"Protein","QA","Escherichia coli K-12"
,,,"SC"
,,"Protein","RA","Escherichia coli K-12"
,,,"TC"
,,"Protein","SA","Escherichia coli K-12"
,,,"UC"
,,"Protein","TA","Escherichia coli K-12"
,,,"VC"
,,"Protein","UA","Escherichia coli K-12"
,,,"WC"
,,"Protein","VA","Escherichia coli K-12"
,,,"XC"
,,"Protein","YC","Escherichia coli K-12"
,,,"WA"
,,"Protein","XA","Escherichia coli K-12"
,,,"ZC"
,,"Protein","AD","Escherichia coli K-12"
,,,"YA"
,,"Protein","BD","Escherichia coli K-12"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,"Protein","CD","synthetic construct"
,,,"BB"
"4U3M","RIBOSOME","RNA","BC","Saccharomyces cerevisiae S288C"
,,,"A"
,,"Protein","B","Saccharomyces cerevisiae S288C"
,,,"CC"
,,"Protein","DC","Saccharomyces cerevisiae S288C"
,,,"C"
,,"Protein","D","Saccharomyces cerevisiae S288C"
,,,"EC"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,,"FC"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,,"GC"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,,"IC"
,,"Protein","JC","Saccharomyces cerevisiae S288C"
,,,"I"
,,"Protein","J","Saccharomyces cerevisiae S288C"
,,,"KC"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,,"MC"
,,"Protein","NC","Saccharomyces cerevisiae S288C"
,,,"M"
,,"Protein","OC","Saccharomyces cerevisiae S288C"
,,,"N"
,,"Protein","O","Saccharomyces cerevisiae S288C"
,,,"PC"
,,"Protein","QC","Saccharomyces cerevisiae S288C"
,,,"P"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","T","Saccharomyces cerevisiae S288C"
,,,"UC"
,,"Protein","U","Saccharomyces cerevisiae S288C"
,,,"VC"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,,"WC"
,,"Protein","W","Saccharomyces cerevisiae S288C"
,,,"XC"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","CA","Saccharomyces cerevisiae S288C"
,,,"DD"
,,"Protein","DA","Saccharomyces cerevisiae S288C"
,,,"ED"
,,"Protein","EA","Saccharomyces cerevisiae S288C"
,,,"FD"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,"Protein","HA","Saccharomyces cerevisiae S288C"
,,,"ID"
,,"Protein","IA","Saccharomyces cerevisiae S288C"
,,,"JD"
,,"RNA","JA","Saccharomyces cerevisiae S288C"
,,,"KD"
,,"RNA","LD","Saccharomyces cerevisiae S288C"
,,,"KA"
,,"RNA","MD","Saccharomyces cerevisiae S288C"
,,,"LA"
,,"Protein","MA","Saccharomyces cerevisiae S288C"
,,,"ND"
,,"Protein","OD","Saccharomyces cerevisiae S288C"
,,,"NA"
,,"Protein","OA","Saccharomyces cerevisiae S288C"
,,,"PD"
,,"Protein","QD","Saccharomyces cerevisiae S288C"
,,,"PA"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","RA","Saccharomyces cerevisiae S288C"
,,,"SD"
,,"Protein","SA","Saccharomyces cerevisiae S288C"
,,,"TD"
,,"Protein","TA","Saccharomyces cerevisiae S288C"
,,,"UD"
,,"Protein","UA","Saccharomyces cerevisiae S288C"
,,,"VD"
,,"Protein","VA","Saccharomyces cerevisiae S288C"
,,,"WD"
,,"Protein","WA","Saccharomyces cerevisiae S288C"
,,,"YD"
,,"Protein","XA","Saccharomyces cerevisiae S288C"
,,,"ZD"
,,"Protein","AE","Saccharomyces cerevisiae S288C"
,,,"YA"
,,"Protein","BE","Saccharomyces cerevisiae S288C"
,,,"ZA"
,,"Protein","AB","Saccharomyces cerevisiae S288C"
,,,"CE"
,,"Protein","BB","Saccharomyces cerevisiae S288C"
,,,"DE"
,,"Protein","CB","Saccharomyces cerevisiae S288C"
,,,"EE"
,,"Protein","DB","Saccharomyces cerevisiae S288C"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae S288C"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae S288C"
,,,"HE"
,,"Protein","GB","Saccharomyces cerevisiae S288C"
,,,"IE"
,,"Protein","HB","Saccharomyces cerevisiae S288C"
,,,"JE"
,,"Protein","IB","Saccharomyces cerevisiae S288C"
,,,"KE"
,,"Protein","JB","Saccharomyces cerevisiae S288C"
,,,"LE"
,,"Protein","KB","Saccharomyces cerevisiae S288C"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae S288C"
,,,"NE"
,,"Protein","OE","Saccharomyces cerevisiae S288C"
,,,"MB"
,,"Protein","NB","Saccharomyces cerevisiae S288C"
,,,"PE"
,,"Protein","OB","Saccharomyces cerevisiae S288C"
,,,"QE"
,,"Protein","RE","Saccharomyces cerevisiae S288C"
,,,"PB"
,,"Protein","QB","Saccharomyces cerevisiae S288C"
,,,"SE"
,,"Protein","TE","Saccharomyces cerevisiae S288C"
,,,"RB"
,,"Protein","SB","Saccharomyces cerevisiae S288C"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae S288C"
,,,"VE"
,,"Protein","UB","Saccharomyces cerevisiae S288C"
,,,"WE"
,,"Protein","VB","Saccharomyces cerevisiae S288C"
,,,"XE"
,,"Protein","WB","Saccharomyces cerevisiae S288C"
,,,"YE"
,,"Protein","XB","Saccharomyces cerevisiae S288C"
,,,"ZE"
,,"Protein","AF","Saccharomyces cerevisiae S288C"
,,,"YB"
,,"Protein","BF","Saccharomyces cerevisiae S288C"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae S288C"
,,,"CF"
,,"Protein","GD","Saccharomyces cerevisiae S288C"
,,"Protein","HD","Saccharomyces cerevisiae S288C"
,,"Protein","XD","Saccharomyces cerevisiae S288C"
,,"Protein","DF","Saccharomyces cerevisiae S288C"
,,"Protein","EF","Saccharomyces cerevisiae S288C"
,,"Protein","FF","Saccharomyces cerevisiae S288C"
"4U3N","RIBOSOME","RNA","A","Saccharomyces cerevisiae S288C"
,,,"BC"
,,"Protein","B","Saccharomyces cerevisiae S288C"
,,,"CC"
,,"Protein","C","Saccharomyces cerevisiae S288C"
,,,"DC"
,,"Protein","D","Saccharomyces cerevisiae S288C"
,,,"EC"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,,"FC"
,,"Protein","GC","Saccharomyces cerevisiae S288C"
,,,"F"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,,"IC"
,,"Protein","I","Saccharomyces cerevisiae S288C"
,,,"JC"
,,"Protein","KC","Saccharomyces cerevisiae S288C"
,,,"J"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,"Protein","M","Saccharomyces cerevisiae S288C"
,,,"NC"
,,"Protein","N","Saccharomyces cerevisiae S288C"
,,,"OC"
,,"Protein","O","Saccharomyces cerevisiae S288C"
,,,"PC"
,,"Protein","P","Saccharomyces cerevisiae S288C"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","UC","Saccharomyces cerevisiae S288C"
,,,"T"
,,"Protein","VC","Saccharomyces cerevisiae S288C"
,,,"U"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,,"WC"
